name, definition location, definition-altering, argument-altering, declaration-altering, call-site-context-altering, thunkizing, metaprogramming, nested invocations
HDR_TAG, extracted_programs/enscript-1.6.6/src/util.c:539:9, True, False, False, False, False, False, False
RESOURCE_DSC, extracted_programs/enscript-1.6.6/src/util.c:555:9, True, False, False, False, False, False, False
CONT_DSC, extracted_programs/enscript-1.6.6/src/util.c:556:9, True, False, False, False, False, False, False
DIRECTIVE_FORMAT, extracted_programs/enscript-1.6.6/src/util.c:607:9, True, False, False, False, False, False, False
DIRECTIVE_HEADERHEIGHT, extracted_programs/enscript-1.6.6/src/util.c:663:9, True, False, False, False, False, False, False
DIRECTIVE_FOOTERHEIGHT, extracted_programs/enscript-1.6.6/src/util.c:685:9, True, False, False, False, False, False, False
COUR, extracted_programs/enscript-1.6.6/src/util.c:891:9, True, False, False, False, False, False, False
UL_STYLE_OUTLINE, extracted_programs/enscript-1.6.6/src/gsint.h:144:9, True, False, False, False, False, False, False
UL_STYLE_FILLED, extracted_programs/enscript-1.6.6/src/gsint.h:145:9, True, False, False, False, False, False, False
RESOURCE_LINE_WIDTH, extracted_programs/enscript-1.6.6/src/psgen.c:62:9, True, False, False, False, False, False, False
F_EPSF_ABSOLUTE_Y, extracted_programs/enscript-1.6.6/src/psgen.c:44:9, True, False, False, False, False, False, False
F_EPSF_ABSOLUTE_X, extracted_programs/enscript-1.6.6/src/psgen.c:43:9, True, False, False, False, False, False, False
F_EPSF_CENTER, extracted_programs/enscript-1.6.6/src/psgen.c:36:9, True, False, False, False, False, False, False
F_EPSF_RIGHT, extracted_programs/enscript-1.6.6/src/psgen.c:37:9, True, False, False, False, False, False, False
F_EPSF_NO_CPOINT_UPDATE_Y, extracted_programs/enscript-1.6.6/src/psgen.c:41:9, True, False, False, False, False, False, False
F_EPSF_NO_CPOINT_UPDATE_X, extracted_programs/enscript-1.6.6/src/psgen.c:40:9, True, False, False, False, False, False, False
M_EPSF_JUSTIFICATION, extracted_programs/enscript-1.6.6/src/psgen.c:38:9, True, False, False, False, False, False, False
F_EPSF_SCALE_X, extracted_programs/enscript-1.6.6/src/psgen.c:46:9, True, False, False, False, False, False, False
F_EPSF_SCALE_Y, extracted_programs/enscript-1.6.6/src/psgen.c:47:9, True, False, False, False, False, False, False
DONE_DONE, extracted_programs/enscript-1.6.6/src/psgen.c:1620:9, True, False, False, False, False, False, False
DONE_WRAP, extracted_programs/enscript-1.6.6/src/psgen.c:1621:9, True, False, False, False, False, False, False
ISPRINT, extracted_programs/enscript-1.6.6/src/psgen.c:56:9, True, False, False, False, False, False, False
BB_DSC, extracted_programs/enscript-1.6.6/src/psgen.c:2454:9, True, False, False, False, False, False, False
BB_DSC_ATEND, extracted_programs/enscript-1.6.6/src/psgen.c:2469:9, True, False, False, False, False, False, False
FITS_ON_LINE, extracted_programs/enscript-1.6.6/src/psgen.c:1140:9, False, True, True, True, False, False, False
APPEND_CHAR, extracted_programs/enscript-1.6.6/src/psgen.c:1146:9, False, True, True, False, False, False, True
APPEND_CH, extracted_programs/enscript-1.6.6/src/util.c:1280:9, False, True, True, False, False, False, False
APPEND_STR, extracted_programs/enscript-1.6.6/src/util.c:1292:9, False, True, True, False, False, False, False
CORRECT_SLICE, extracted_programs/enscript-1.6.6/src/psgen.c:51:9, False, True, True, False, False, False, False
BUFFER_EMPTY, extracted_programs/enscript-1.6.6/src/psgen.c:1143:9, False, True, True, False, False, False, False
EMIT, extracted_programs/enscript-1.6.6/src/psgen.c:1160:9, False, True, True, False, False, False, False
UNEMIT, extracted_programs/enscript-1.6.6/src/psgen.c:1167:9, False, True, True, False, False, False, False
CHAR_WIDTH, extracted_programs/enscript-1.6.6/src/gsint.h:133:9, False, False, True, False, False, False, True
LINESKIP, extracted_programs/enscript-1.6.6/src/gsint.h:136:9, False, False, True, False, False, False, True
CFG_FATAL, extracted_programs/enscript-1.6.6/src/util.c:31:9, False, False, False, True, False, False, True
_, extracted_programs/enscript-1.6.6/src/gsint.h:107:9, False, False, False, True, False, False, True
_, extracted_programs/enscript-1.6.6/src/mkafmmap.c:40:9, False, False, False, True, False, False, True
___P, extracted_programs/enscript-1.6.6/src/gsint.h:43:9, False, False, False, True, False, False, False
GET_TOKEN, extracted_programs/enscript-1.6.6/src/util.c:88:9, False, False, False, True, False, False, False
CHECK_TOKEN, extracted_programs/enscript-1.6.6/src/util.c:91:9, False, False, False, True, False, False, False
OUTPUT_FILE_NONE, extracted_programs/enscript-1.6.6/src/gsint.h:140:9, False, False, False, True, False, False, False
GET_LINE_TOKEN, extracted_programs/enscript-1.6.6/src/util.c:89:9, False, False, False, True, False, False, False
MESSAGE, extracted_programs/enscript-1.6.6/src/gsint.h:498:9, False, False, False, True, False, False, False
FATAL, extracted_programs/enscript-1.6.6/src/gsint.h:514:9, False, False, False, True, False, False, False
ISNUMBERDIGIT, extracted_programs/enscript-1.6.6/src/gsint.h:129:9, False, False, False, True, False, False, False
ERROR, extracted_programs/enscript-1.6.6/src/gsint.h:505:9, False, False, False, True, False, False, False
OUTPUT, extracted_programs/enscript-1.6.6/src/psgen.c:199:9, False, False, False, True, False, False, False
ISSPACE, extracted_programs/enscript-1.6.6/src/psgen.c:1173:9, False, False, False, True, False, False, False
ISOCTAL, extracted_programs/enscript-1.6.6/src/psgen.c:1174:9, False, False, False, True, False, False, False
PRINT_BOUNDING_BOXES, extracted_programs/enscript-1.6.6/src/psgen.c:2067:9, False, False, False, True, False, False, False
HANDLE_ERROR, extracted_programs/enscript-1.6.6/src/mkafmmap.c:54:9, False, False, False, True, False, False, False
OUTPUT_FILE_STDOUT, extracted_programs/enscript-1.6.6/src/gsint.h:141:9, False, False, False, False, False, False, True
NEED_NBYTES, extracted_programs/enscript-1.6.6/src/util.c:1271:9, False, False, False, False, False, False, True
CFG_FILE_NAME, extracted_programs/enscript-1.6.6/src/main.c:1046:9, False, False, False, False, False, False, True
MATCH, extracted_programs/enscript-1.6.6/src/gsint.h:127:9, False, False, False, False, False, False, False
EXISTS, extracted_programs/enscript-1.6.6/src/psgen.c:59:9, False, False, False, False, False, False, False
