name, definition location, definition-altering, argument-altering, declaration-altering, call-site-context-altering, thunkizing, metaprogramming, nested invocations
INITIAL_BUFFER_SIZE, extracted_programs/m4-1.4.19/src/output.c:32:9, True, False, False, False, False, False, False
MAXIMUM_TOTAL_SIZE, extracted_programs/m4-1.4.19/src/output.c:36:9, True, False, False, False, False, False, False
COPY_BUFFER_SIZE, extracted_programs/m4-1.4.19/src/output.c:39:9, True, False, False, False, False, False, False
DEF_LQUOTE, extracted_programs/m4-1.4.19/src/m4.h:323:9, True, False, False, False, False, False, False
DEF_RQUOTE, extracted_programs/m4-1.4.19/src/m4.h:324:9, True, False, False, False, False, False, False
DEF_BCOMM, extracted_programs/m4-1.4.19/src/m4.h:325:9, True, False, False, False, False, False, False
DEF_ECOMM, extracted_programs/m4-1.4.19/src/m4.h:326:9, True, False, False, False, False, False, False
DEBUG_TRACE_INPUT, extracted_programs/m4-1.4.19/src/m4.h:178:9, True, False, False, False, False, False, False
CHAR_EOF, extracted_programs/m4-1.4.19/src/input.c:142:9, True, False, False, False, False, False, False
CHAR_MACRO, extracted_programs/m4-1.4.19/src/input.c:143:9, True, False, False, False, False, False, False
default_word_regexp, extracted_programs/m4-1.4.19/src/input.c:162:10, True, False, False, False, False, False, False
DEBUG_TRACE_ALL, extracted_programs/m4-1.4.19/src/m4.h:168:9, True, False, False, False, False, False, False
DEBUG_TRACE_CALL, extracted_programs/m4-1.4.19/src/m4.h:176:9, True, False, False, False, False, False, False
DEFAULT_MACRO_SEQUENCE, extracted_programs/m4-1.4.19/src/m4.h:430:9, True, False, False, False, False, False, False
DEBUG_TRACE_QUOTE, extracted_programs/m4-1.4.19/src/m4.h:166:9, True, False, False, False, False, False, False
DEBUG_TRACE_DEFAULT, extracted_programs/m4-1.4.19/src/m4.h:185:9, True, False, False, False, False, False, False
DEBUG_TRACE_ARGS, extracted_programs/m4-1.4.19/src/m4.h:162:9, True, False, False, False, False, False, False
DEBUG_TRACE_EXPANSION, extracted_programs/m4-1.4.19/src/m4.h:164:9, True, False, False, False, False, False, False
DEBUG_TRACE_LINE, extracted_programs/m4-1.4.19/src/m4.h:170:9, True, False, False, False, False, False, False
DEBUG_TRACE_FILE, extracted_programs/m4-1.4.19/src/m4.h:172:9, True, False, False, False, False, False, False
DEBUG_TRACE_PATH, extracted_programs/m4-1.4.19/src/m4.h:174:9, True, False, False, False, False, False, False
DEBUG_TRACE_CALLID, extracted_programs/m4-1.4.19/src/m4.h:180:9, True, False, False, False, False, False, False
DEBUG_TRACE_VERBOSE, extracted_programs/m4-1.4.19/src/m4.h:183:9, True, False, False, False, False, False, False
HASHMAX, extracted_programs/m4-1.4.19/src/m4.h:390:9, True, False, False, False, False, False, False
EXIT_INTERNAL_ERROR, extracted_programs/m4-1.4.19/src/m4.h:79:9, True, False, False, False, False, False, False
OPTSTRING, extracted_programs/m4-1.4.19/src/m4.c:399:9, True, False, False, False, False, False, False
ARG, extracted_programs/m4-1.4.19/src/builtin.c:34:9, False, True, True, True, False, False, True
GET_NUMBER, extracted_programs/m4-1.4.19/src/freeze.c:204:9, False, True, True, True, False, False, False
GET_STRING, extracted_programs/m4-1.4.19/src/freeze.c:244:9, False, True, True, True, False, False, False
ARG_STR, extracted_programs/m4-1.4.19/src/format.c:110:9, False, True, True, True, False, False, False
ARG_INT, extracted_programs/m4-1.4.19/src/format.c:102:9, False, True, True, True, False, False, False
SYMBOL_STACK, extracted_programs/m4-1.4.19/src/m4.h:375:9, False, True, True, False, False, False, True
SYMBOL_NAME, extracted_programs/m4-1.4.19/src/m4.h:381:9, False, True, True, False, False, False, True
SYMBOL_TEXT, extracted_programs/m4-1.4.19/src/m4.h:383:9, False, True, True, False, False, False, True
TOKEN_DATA_TEXT, extracted_programs/m4-1.4.19/src/m4.h:291:9, False, True, True, False, False, False, True
TOKEN_DATA_FUNC, extracted_programs/m4-1.4.19/src/m4.h:295:9, False, True, True, False, False, False, True
GET_CHARACTER, extracted_programs/m4-1.4.19/src/freeze.c:190:9, False, True, True, False, False, False, True
VALIDATE, extracted_programs/m4-1.4.19/src/freeze.c:220:9, False, True, True, False, False, False, True
SYMBOL_TYPE, extracted_programs/m4-1.4.19/src/m4.h:382:9, False, True, True, False, False, False, False
SYMBOL_FUNC, extracted_programs/m4-1.4.19/src/m4.h:384:9, False, True, True, False, False, False, False
GET_DIRECTIVE, extracted_programs/m4-1.4.19/src/freeze.c:231:9, False, True, True, False, False, False, False
SYMBOL_PENDING_EXPANSIONS, extracted_programs/m4-1.4.19/src/m4.h:380:9, False, True, True, False, False, False, False
SYMBOL_DELETED, extracted_programs/m4-1.4.19/src/m4.h:379:9, False, True, True, False, False, False, False
SYMBOL_TRACED, extracted_programs/m4-1.4.19/src/m4.h:376:9, False, True, True, False, False, False, False
SYMBOL_MACRO_ARGS, extracted_programs/m4-1.4.19/src/m4.h:377:9, False, True, True, False, False, False, False
SYMBOL_BLIND_NO_ARGS, extracted_programs/m4-1.4.19/src/m4.h:378:9, False, True, True, False, False, False, False
TOKEN_DATA_TYPE, extracted_programs/m4-1.4.19/src/m4.h:290:9, False, True, False, False, False, False, True
OUTPUT_CHARACTER, extracted_programs/m4-1.4.19/src/output.c:526:9, False, False, True, False, False, False, False
DEBUG_MESSAGE1, extracted_programs/m4-1.4.19/src/m4.h:215:9, False, False, True, False, False, False, False
DEBUG_MESSAGE2, extracted_programs/m4-1.4.19/src/m4.h:227:9, False, False, True, False, False, False, False
next_char, extracted_programs/m4-1.4.19/src/input.c:502:9, False, False, True, False, False, False, False
DEBUG_PRINT1, extracted_programs/m4-1.4.19/src/m4.h:187:9, False, False, True, False, False, False, False
_, extracted_programs/m4-1.4.19/src/m4.h:94:9, False, False, False, True, False, False, True
M4ERROR, extracted_programs/m4-1.4.19/src/m4.h:151:9, False, False, False, True, False, False, False
M4ERROR_AT_LINE, extracted_programs/m4-1.4.19/src/m4.h:152:9, False, False, False, True, False, False, False
MATCH, extracted_programs/m4-1.4.19/src/input.c:662:9, False, False, False, True, False, False, False
DECLARE, extracted_programs/m4-1.4.19/src/builtin.c:40:9, False, False, False, True, False, False, False
UNIX, extracted_programs/m4-1.4.19/src/m4.h:64:10, False, False, False, True, False, False, False
WRITE, extracted_programs/m4-1.4.19/src/m4.c:180:9, False, False, False, True, False, False, False
obstack_chunk_alloc, extracted_programs/m4-1.4.19/src/m4.h:106:9, False, False, False, False, False, False, True
obstack_chunk_free, extracted_programs/m4-1.4.19/src/m4.h:107:9, False, False, False, False, False, False, True
EXIT_MISMATCH, extracted_programs/m4-1.4.19/src/m4.h:82:9, False, False, False, False, False, False, True
DEBUG_MESSAGE, extracted_programs/m4-1.4.19/src/m4.h:203:9, False, False, False, False, False, False, False
STREQ, extracted_programs/m4-1.4.19/src/m4.h:495:9, False, False, False, False, False, False, False
DEBUG_PRINT3, extracted_programs/m4-1.4.19/src/m4.h:195:9, False, False, False, False, False, False, False
ARG_LONG, extracted_programs/m4-1.4.19/src/format.c:106:9, False, False, False, False, False, False, False
ARG_DOUBLE, extracted_programs/m4-1.4.19/src/format.c:114:9, False, False, False, False, False, False, False
AUTHORS, extracted_programs/m4-1.4.19/src/m4.c:41:9, False, False, False, False, False, False, False
