name, definition location, definition-adapting, calling-convention-adapting, scope-adapting, call-site-context-adapting, thunkizing, metaprogramming, nested invocations, correct classification, notes
HIDIOCGUCODE, extracted_programs/linux-6.2-rc2/include/uapi/linux/hiddev.h:167:9, False, False, False, True, False, False, False, true, function-like macro used where an ICE is required
PORT_RX_LANES, extracted_programs/linux-6.2-rc2/drivers/usb/host/xhci.h:438:9, True, False, False, False, False, False, False, true, function
SMART_MOVE, extracted_programs/xfig-3.2.8b/src/mode.h:171:10, True, False, False, False, False, False, False, true, enum
P9_STATS_CTIME, extracted_programs/linux-6.2-rc2/include/net/9p/9p.h:434:9, True, False, False, False, False, False, False, true, enum
setskip, extracted_programs/xfig-3.2.8b/src/f_neuclrtab.c:77:9, True, False, False, False, False, False, False, true, function
ACPI_DB_RESOURCES, extracted_programs/linux-6.2-rc2/include/acpi/acoutput.h:140:9, False, False, False, False, False, False, True, true, nested in arguments
RTC_CLASS_DEV_PM_OPS, extracted_programs/linux-6.2-rc2/drivers/rtc/class.c:199:9, False, False, False, True, False, False, False, false, should be calling-convention-adapting; on RHS of assignment; contains a nested invocation of NULL
lisp_h_FLOATP, extracted_programs/emacs-28.1/src/lisp.h:369:9, False, False, True, False, False, False, False, false, also has nested invocations; used as return value; many nested invocations; invoked as a nested invocation; expands to conditional expr
REMAP_MSG, extracted_programs/xfig-3.2.8b/src/f_util.c:235:9, True, False, False, False, False, False, False, true, string constant
POSIX_FADV_NOREUSE, extracted_programs/linux-6.2-rc2/include/uapi/linux/fadvise.h:19:9, True, False, False, False, False, False, False, true, enum
Qecho_keystrokes, extracted_programs/emacs-28.1/src/globals.h:7096:10, False, False, True, False, False, False, True, true, captures a function decl and has nested invocations in arguments
SNDRV_PCM_DEVICES, extracted_programs/linux-6.2-rc2/include/sound/pcm.h:89:9, False, False, False, False, False, False, True, true, also definition-adapting
REL_Y, extracted_programs/linux-6.2-rc2/include/uapi/linux/input-event-codes.h:816:9, False, False, False, False, False, False, True, true, also definition-adapting
RTA_ALIGNTO, extracted_programs/linux-6.2-rc2/include/uapi/linux/rtnetlink.h:218:9, False, False, False, False, False, False, True, true, also definition-adapting
KGIDT_INIT, extracted_programs/linux-6.2-rc2/include/linux/uidgid.h:31:9, False, False, True, False, False, False, True, true, captures a struct decl
BXT_DRAM_TYPE_DDR4, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/intel_mchbar_regs.h:123:11, True, False, False, False, False, False, False, true, enum
w_vihistorysearchforward, extracted_programs/zsh-5.9/Src/Zle/zle_widget.h:312:9, False, False, False, False, False, False, True, true, also call-site-context-adapting because defined to an address; invoked in a non-c file
PERL_ARGS_ASSERT__INVLIST_UNION_MAYBE_COMPLEMENT_2ND, extracted_programs/perl-5.36.0/proto.h:6125:9, False, False, False, True, False, False, False, true, defined to two sequential assert statements
GPCMD_CLOSE_TRACK, extracted_programs/linux-6.2-rc2/include/uapi/linux/cdrom.h:459:9, True, False, False, False, False, False, False, true, enum
ANEG_STATE_DISABLE_LINK_OK, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/broadcom/tg3.c:5092:9, True, False, False, False, False, False, False, true, enum
SEMI_COLON_POSIX_WARNING, extracted_programs/perl-5.36.0/ext/re/re_comp.c:15991:9, False, False, False, False, False, False, True, true, also call-site-context adapting because expands to string literal that is concatenated during translation phase 6
E1000_RCTL_RST, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/intel/e1000/e1000_hw.h:1810:9, False, False, False, False, False, False, True, true, also definition-adapting
UPF_FULL_PROBE, extracted_programs/linux-6.2-rc2/include/linux/serial_core.h:533:9, False, False, False, False, False, False, False, false, not classified; many nested invocations; token pasting; RHS of assignment; conditional expr
DRM_IOCTL_I915_GET_VBLANK_PIPE, extracted_programs/linux-6.2-rc2/include/uapi/drm/i915_drm.h:489:9, False, False, False, False, False, False, True, true, not invoked in a .c/.h file
QCconversion, extracted_programs/emacs-28.1/src/globals.h:6681:10, False, False, True, False, False, False, True, true, captures a function decl
mouse_fine_grained_tracking, extracted_programs/emacs-28.1/src/globals.h:1109:9, False, True, True, False, False, False, True, true, captures a declaration; appears on left-hand-side of an assignment; nested
INTEL_FRONTBUFFER_OVERLAY, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/display/intel_frontbuffer.h:63:9, False, False, False, True, False, False, False, true, expands to a nested invocation
case_145_SBOX32, extracted_programs/perl-5.36.0/sbox32_hash.h:670:9, False, False, False, True, False, False, False, true, expands to nested invocation that expands to a case label
iQCwindow, extracted_programs/emacs-28.1/src/globals.h:1572:9, False, False, False, False, False, False, True, true, also metaprogramming; invocation was constructed from token-pasting
_CHV_VIDEO_DIP_DATA_C, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:6122:9, False, False, False, False, False, False, True, true, also definition-adapting
DRM_IOCTL_I915_SETPARAM, extracted_programs/linux-6.2-rc2/include/uapi/drm/i915_drm.h:482:9, False, False, False, False, False, False, True, true, not invoked in a .c/.h file
SCSI_INLINE_PROT_SG_CNT, extracted_programs/linux-6.2-rc2/drivers/scsi/scsi_lib.c:52:10, True, False, False, False, False, False, False, true, enum
E1000_ICH8_LAN_INIT_TIMEOUT, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/intel/e1000e/ich8lan.h:66:9, True, False, False, False, False, False, False, true, enum
is_dir_sep, extracted_programs/linux-6.2-rc2/tools/lib/subcmd/exec-cmd.c:32:9, True, False, False, False, False, False, False, true, function
EDP_PSR_LINK_STANDBY, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:2065:11, True, False, False, False, False, False, False, true, enum
POLLOUT, extracted_programs/linux-6.2-rc2/include/uapi/asm-generic/poll.h:8:9, False, False, False, False, False, False, True, true, also definition-adapting
ARGP_ZERO_OP, extracted_programs/linux-6.2-rc2/drivers/acpi/acpica/acopcode.h:161:9, False, False, False, False, False, False, True, true, also definition-adapting
YYDPRINTF, extracted_programs/gawk-5.1.1/command.c:1241:10, False, False, False, False, False, False, False, false, defined multiple times; does not expand argument so should be unaligned and thus calling-convention-adapting; expands to cast expression
